Hydrogen,Methane,Ethane,Ethylene,Acetylene,Carbon Monoxide,Carbon Dioxide,Fault_Type,%CH4,%C2H4,%C2H2
40.0,3,0.0,12,0,199,1448,0,20.0,80.0,0.0
7.0,1,0.0,17,0,152,935,0,5.555555555555555,94.44444444444444,0.0
0.0,0,0.0,12,0,82,1717,0,0.0,100.0,0.0
0.0,1,0.0,20,0,83,1402,0,4.761904761904762,95.23809523809523,0.0
3.0,1,0.0,17,0,160,1835,0,5.555555555555555,94.44444444444444,0.0
6.0,1,0.0,13,0,169,1799,0,7.142857142857142,92.85714285714286,0.0
2.0,2,2.0,12,0,148,1547,4,14.285714285714285,85.71428571428571,0.0
5.0,19,16.0,123,8,274,2413,4,12.666666666666668,82.0,5.333333333333334
7.0,1,0.0,58,4,178,895,0,1.5873015873015872,92.06349206349206,6.349206349206349
0.0,0,0.0,28,2,93,887,0,0.0,93.33333333333333,6.666666666666667
0.0,0,0.0,31,0,114,1211,0,0.0,100.0,0.0
0.0,0,0.0,31,0,114,1211,0,0.0,100.0,0.0
0.0,0,0.0,28,2,93,887,0,0.0,93.33333333333333,6.666666666666667
7.0,1,0.0,58,4,178,895,0,1.5873015873015872,92.06349206349206,6.349206349206349
5.0,19,16.0,123,8,274,2413,4,12.666666666666668,82.0,5.333333333333334
5.0,1,0.0,0,0,99,409,0,100.0,0.0,0.0
0.0,2,0.0,0,0,104,473,0,100.0,0.0,0.0
0.0,3,0.0,0,0,150,783,0,100.0,0.0,0.0
20.0,4,0.0,1,0,639,860,0,80.0,20.0,0.0
0.0,2,0.0,0,0,104,473,0,100.0,0.0,0.0
0.0,3,0.0,0,0,150,783,0,100.0,0.0,0.0
20.0,4,0.0,1,0,639,860,0,80.0,20.0,0.0
10.0,6,0.0,1,0,622,791,0,85.71428571428571,14.285714285714285,0.0
20.0,4,0.0,1,0,639,860,0,80.0,20.0,0.0
0.0,3,0.0,0,0,150,783,0,100.0,0.0,0.0
0.0,2,0.0,0,0,104,473,0,100.0,0.0,0.0
5.0,1,0.0,0,0,99,409,0,100.0,0.0,0.0
0.0,0,0.0,12,0,132,2699,0,0.0,100.0,0.0
4.0,1,0.0,7,0,150,1493,0,12.5,87.5,0.0
24.0,0,0.0,0,0,112,548,0,0.0,0.0,0.0
0.0,0,0.0,0,0,206,1070,0,0.0,0.0,0.0
19.0,2,0.0,1,0,680,1191,0,66.66666666666666,33.33333333333333,0.0
0.0,0,0.0,0,0,12,99,0,0.0,0.0,0.0
19.0,2,0.0,1,0,680,1191,0,66.66666666666666,33.33333333333333,0.0
0.0,0,0.0,0,0,206,1070,0,0.0,0.0,0.0
24.0,0,0.0,0,0,112,548,0,0.0,0.0,0.0
4.0,4,1.0,11,0,1338,5393,4,26.666666666666668,73.33333333333333,0.0
4.0,9,1.0,9,0,974,2740,4,50.0,50.0,0.0
2.0,12,1.0,14,0,1050,3912,4,46.15384615384615,53.84615384615385,0.0
4.0,9,1.0,9,0,974,2740,4,50.0,50.0,0.0
